Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stock PnL,Option PnL,Total PnL,Return,Reason
SHW,2020-05-13,2020-05-27,548.32,582.86,15715.699999999983,-4680.86381625514,11034.836183744843,0.04423035310953755,Signal Exit
SPGI,2020-05-19,2020-05-27,311.09,315.43,3485.0200000000254,24.74179903190678,3509.7617990319322,0.014049991015129234,Signal Exit
AAPL,2020-05-19,2020-05-27,313.14,318.11,3966.060000000022,-148.78449392412708,3817.2755060758946,0.015276085028291711,Signal Exit
ADBE,2020-05-20,2020-05-27,383.63,375.17,-5507.459999999986,2358.1325648149873,-3149.327435184999,-0.012610266537401845,Signal Exit
GOOGL,2020-05-20,2020-05-27,1409.16,1420.28,1968.2399999999807,382.0695293569381,2350.3095293569186,0.009423049839351818,Signal Exit
GOOG,2020-05-20,2020-05-27,1406.72,1417.84,1968.2399999999807,380.27774592865137,2348.517745928632,0.009432198192536326,Signal Exit
ORLY,2020-05-27,2020-05-28,415.28,413.13,-1294.2999999999863,539.8291607845397,-754.4708392154466,-0.003017900739970049,Signal Exit
AZO,2020-05-08,2020-05-29,1057.9,1147.86,21230.559999999954,-1664.3419311240373,19566.218068875918,0.07837007626588299,Signal Exit
ILMN,2020-05-19,2020-05-29,342.55,363.05,14944.5,-5031.856128536455,9912.643871463544,0.03969520083062797,Signal Exit
BLK,2020-05-26,2020-05-29,523.63,528.64,2389.769999999996,-380.1775469333661,2009.5924530666298,0.008045723281516894,Signal Exit
SHW,2020-05-28,2020-06-01,590.01,582.46,-3193.6499999999805,1459.567503000108,-1734.0824969998725,-0.006948163265894369,Signal Exit
IDXX,2020-06-01,2020-06-02,312.19,316.48,3432.0000000000164,-1066.1748974655438,2365.8251025344725,0.009472697325885168,Signal Exit
SPGI,2020-06-01,2020-06-02,327.3,327.37,53.409999999994795,120.81482335117585,174.22482335117064,0.0006976530377466641,Signal Exit
ILMN,2020-06-01,2020-06-02,365.41,366.05,437.75999999999067,-4.13585825031663,433.62414174967404,0.0017349098919313497,Signal Exit
MA,2020-05-29,2020-06-03,300.89,307.07,5129.400000000006,-1098.0921710504426,4031.3078289495634,0.016142103041897646,Signal Exit
SHW,2020-06-02,2020-06-03,597.11,594.16,-1233.100000000019,521.2196009677227,-711.8803990322963,-0.00285217657647612,Signal Exit
CMG,2020-04-09,2020-06-04,771.0,1041.56,87661.43999999999,-1016.8913490169798,86644.54865098301,0.346850125102012,Signal Exit
NVDA,2020-05-13,2020-06-04,311.2,350.66,31686.38000000003,-2267.3224227111477,29419.057577288884,0.11772633463717713,Signal Exit
ROP,2020-05-20,2020-06-05,367.88,405.83,25768.049999999992,-678.7552078694295,25089.294792130564,0.10044134097695367,Signal Exit
GOOGL,2020-06-10,2020-06-11,1464.7,1401.9,-10675.999999999993,2675.9842713561975,-8000.015728643795,-0.03212870625441787,Signal Exit
GOOG,2020-06-10,2020-06-11,1465.85,1403.84,-10541.699999999999,2654.7139639999205,-7886.9860360000785,-0.031649920186842324,Signal Exit
IDXX,2020-06-10,2020-06-12,321.89,302.83,-14790.560000000001,3324.251387154177,-11466.308612845824,-0.045904411112002726,Signal Exit
AVGO,2020-06-10,2020-06-12,315.04,300.25,-11728.470000000016,2929.1427650332575,-8799.327234966759,-0.0352217218196947,Signal Exit
GWW,2020-06-11,2020-06-12,305.94,303.75,-1789.2299999999982,686.0456115447466,-1103.1843884552516,-0.004413567657626053,Signal Exit
AMZN,2020-06-11,2020-06-12,2557.96,2545.02,-1255.1800000000053,526.9613773179755,-728.2186226820298,-0.002934920202527811,Signal Exit
ILMN,2020-06-11,2020-06-12,336.92,341.61,3479.979999999998,-1084.238117305416,2395.7418826945823,0.00958317299400732,Signal Exit
ISRG,2020-06-11,2020-06-12,547.83,558.41,4824.479999999967,-1613.9497633886053,3210.5302366113615,0.012851863687269491,Signal Exit
ROP,2020-06-09,2020-06-15,402.13,394.04,-5023.889999999985,2138.4596325943053,-2885.4303674056796,-0.011554536374825309,Signal Exit
ADBE,2020-06-10,2020-06-15,406.82,401.34,-3364.720000000011,1631.476076906836,-1733.2439230931752,-0.00693887429062968,Signal Exit
REGN,2020-06-11,2020-06-15,596.16,590.57,-2342.2099999999655,1237.3243987969545,-1104.885601203011,-0.004423239525336902,Signal Exit
CMG,2020-06-10,2020-06-16,1028.96,1031.8,687.2799999999802,638.8630109773721,1326.1430109773523,0.00532569759507374,Signal Exit
AVGO,2020-06-15,2020-06-16,304.09,310.72,5449.860000000043,-1871.0836529775477,3578.7763470224954,0.014317282760452193,Signal Exit
AAPL,2020-06-10,2020-06-18,352.84,351.73,-785.8799999999694,1371.02808924348,585.1480892435106,0.002342365808975334,Signal Exit
AVGO,2020-06-17,2020-06-19,313.44,302.77,-8503.990000000013,2395.1989918351046,-6108.791008164908,-0.02445358442873811,Signal Exit
CMG,2020-06-22,2020-06-23,1070.25,1039.16,-7243.969999999981,2042.0459083002013,-5201.92409169978,-0.020860410624447098,Signal Exit
AVGO,2020-06-22,2020-06-23,313.54,311.3,-1785.2800000000072,684.8538153966052,-1100.426184603402,-0.004403618022371968,Signal Exit
IDXX,2020-06-22,2020-06-23,325.29,327.69,1843.1999999999825,-483.1396784725039,1360.0603215274787,0.005444101807583708,Signal Exit
ILMN,2020-06-19,2020-06-24,368.77,358.94,-6654.909999999989,2357.7805987935612,-4297.129401206428,-0.017212112657340902,Signal Exit
AAPL,2020-06-22,2020-06-25,358.87,364.84,4155.119999999979,-1036.4133792578807,3118.7066207420985,0.012486137925037444,Signal Exit
AMZN,2020-06-22,2020-06-25,2713.82,2754.58,3749.9199999999782,-880.9548030195028,2868.9651969804754,0.011490962670702246,Signal Exit
BLK,2020-06-24,2020-06-25,538.57,546.97,3897.5999999999894,-1245.339903998702,2652.2600960012874,0.010613435195250799,Signal Exit
AVGO,2020-06-24,2020-06-25,306.97,308.85,1530.3199999999963,-373.5268498793483,1156.793150120648,0.004629513652946614,Signal Exit
MTD,2020-06-24,2020-06-25,784.04,785.38,426.1200000000101,-0.6553097506813401,425.4646902493288,0.001706468136209393,Signal Exit
CTAS,2020-06-05,2020-06-26,286.5,256.5,-26160.0,3020.1738808809023,-23139.826119119098,-0.0926230291205113,Signal Exit
LRCX,2020-06-12,2020-06-26,284.52,302.52,15804.0,-4728.949248099278,11075.050751900722,0.04433415232808965,Signal Exit
NVDA,2020-06-10,2020-06-29,374.67,368.0,-4448.89000000001,2471.3340013012903,-1977.55599869872,-0.00791323450573024,Signal Exit
ADBE,2020-06-19,2020-06-29,428.01,424.2,-2225.0400000000013,2027.3526541252286,-197.68734587477275,-0.0007908827579673946,Signal Exit
REGN,2020-06-30,2020-07-01,623.65,609.17,-5792.000000000007,1724.9673904174188,-4067.0326095825885,-0.016303345664966683,Signal Exit
ANSS,2020-07-01,2020-07-02,294.32,297.97,3098.850000000029,-940.122144273189,2158.72785572684,0.008639138380534189,Signal Exit
TDG,2020-05-18,2020-07-07,370.52,419.49,33005.78000000002,3968.084665660422,36973.86466566044,0.14805507387668676,Signal Exit
MTD,2020-06-30,2020-07-07,805.55,819.06,4188.099999999997,-400.4700028887393,3787.6299971112576,0.015167477227985919,Signal Exit
EQIX,2020-07-08,2020-07-10,720.35,716.59,-1304.7199999999968,677.2500717770772,-627.4699282229196,-0.0025102667960316266,Signal Exit
